Slide Number,Text
16,"대중매체에서 만나는 장애인의 모습  장애인에 대한 시각과 태도 시혜와 동정  봉사 장애 때문에 어려움과 비참함을 겪는  사람들의 모습을 통해   시혜와 동정을  불러일으킴    장애인을 위해 봉사하는 이웃들의  아름다운 이야기들을 통해 ,  삭막한  사회에서 인간미가 살아있음을 보여줌  극복 개인의 초인적인 노력을 통해  장애를   극복하고 성공한 장애인의 영웅담  장애인은 늘 불쌍하고  도움이 필요한 존재로 인식시킴 책임을  오롯이   장애를 가진  개인에게 떠넘기는 결과를  낳음 우리 사회 구조가 바뀌어야 한다는  생각을   약화시킴"
17,"장애인을 보는 시각에는 특별함이 아닌 , 평범함이 필요합니다  장애인에 대한 시각과 태도 장애인을 잘 대하는 방법은  따로 존재하는 것이 아닙니다 모든 시각장애인은  점자 를 안다 ? 모든 청각장애인은  수어 를  사용한다 ? 도움을 줄 때는 먼저 상대방의 의사 확인하기"
18,"03 장애인고용 , 이렇게 할 수 있습니다"
19,"우리나라의 장애인 고용정책 ,  장애인 의무고용제도  장애인고용의 법적 ,  제도적 내용  장애인   의무고용제도 장애인 의무고용률  달성 못할 경우 의무고용률 이상  고용한 사업주 장애인 고용부담금 부과 100 명 이상 기업 초과인원에 대한 장려금 지급 규모 관계없이"
20,"장애인의 고용촉진 및 직업재활법  장애인고용의 법적 ,  제도적 내용  이 법은 장애인이 그 능력에 맞는 직업생활을 통하여  인간다운 생활을 할 수 있도록 장애인의 고용촉진 및  직업재활을 꾀하는 것을 목적으로 한다  장애인 고용촉진 및 직업재활법 제 1 조  ( 목적 )  장애인  고용촉진 및  직업재활법  장애인 생존권 · 노동권 보장 장애인 스스로 자립할 권리 실현 장애인 노동경력과 보수 ,  통상적인 삶 영위  장애인 자아 실현 기업 ,  정부 ,  기타 단체의 사회적 책임 인식 1 2 3 4 5"
21,"장애인 고용의무제를 통한 장애인 고용률의 변화  장애인고용의 법적 ,  제도적 내용  장애인  의무고용률의  변화 의무고용사업체 장애인 고용현황 * 2021 년 말 기준 |   정부 및 공공기관   | |   민간사업주    | 의무고용 사업체  장애인 고용률 3.1 % 공공기관  장애인 고용률 3.78 %"
22,"출처  :  한국장애인고용공단 ,  「 2022 년 상반기 장애인경제활동실태조사」 누구나 일할 수 있는 일터를 만듭니다 장애인고용의 법적 ,  제도적 내용  장애인구와 전체인구의 경제활동상태 비교 |  2022 년 상반기   |"
23,"장애인 고용을 위한 ,  단계별 다양한 지원책 운영  사업주 지원 제도 구인  사업체 구인  상담 구인  신청 구인  홍보 대상  추천 전형  지원 고용관리  지원 장애인고용현황 상담 및  고용확대방안 협의 직무분석 및 직무추천 구인구직매칭  및  고용환경개선 지원 각종 고용유지  서비스 제공 사전 서비스 고용과정 서비스 사후 서비스 컨설팅  장애인고용 종합컨설팅  ( 舊 통합고용지원서비스 ) 서비스 신청접수  구인상담 고용분위기 조성  장애인 인식개선 교육 대상추천 대상훈련 대상관리 편의지원 회사설립 모집대행 / 중증장애인 인턴제 지원고용 / 맞춤훈련 ,  양성훈련 고용관리비용 지원 장애인고용시설 설치비용 표준사업장 설립 지원 등 작업편의지원  근로지원인 , 보조공학기기 고용장려금 지원 , 고용장려금 감액 장애인 인식개선  교육"
24,장애인을 고용하면 어떤 혜택을 받을 수 있나요 ? 사업주 지원 제도 고용장려금 한국장애인  고용공단 의무고용률  초과 사업체 장애인 고용장려금 경증 남성 경증 여성 중증 남성 중증 여성 35 만원 50 만원 70 만원 90 만원 신규고용장려금 장애인의 신규고용 유도를 위해  ① 상시근로자수가  5 인 이상  50 인 미만 사업주가  ② 장애인 근로자를 신규 고용하여        지원금 신청일 기준  6 개월 이상   고용 유지한 경우  1 2
25,장애인을 고용하면 어떤 혜택을 받을 수 있나요 ? 사업주 지원 제도 장애인 표준사업장 설립 지원  장애인 근로자 수  10 인 이상 상시근로자 중  장애인  30%  이상 장애인 근로자 중  중증장애인  일정비율 이상 자회사형 표준사업장 자회사의 장애인근로자를 모회사의 장애인고용의무인원으로 산입하여 부담금 감면  * 이미지 출처  :   포스코휴먼스 국내  1 호 자회사형  장애인표준사업장 포스코휴먼스
26,"장애인을 고용하면 어떤 혜택을 받을 수 있나요 ? 사업주 지원 제도 근로지원인 지원 보조공학기기 지원 중증장애인이 안정적 , 지속적 직업생활을 하도록 지원 장애인이 작업을 효율적으로  수행할 수 있도록 지원 중증장애인 1 일  8 시간 ,  주  40 시간 이내 장애인을 고용하고 있거나 고용하려는 사업주 , 4 인 이하의 근로자를 고용하고 있는  장애인 사업주 및 근로자 보조공학  기기 출퇴근 보조 시각장애인용 컴퓨터 음성증폭기 맞춤보조 공학기기 자동차 개조 차량용 보조공학기기 이동 지원 수기 서류 대독 수어  통역"
27,"04 함께 일하기 , 이렇게 하면 잘할 수 있습니다"
28,장애인은 인간의 존엄과 가치를 가지며 행복을 추구할 권리를 가진다 .  장애인은 건전한 사회 구성원으로 책임 있는 삶을 살아가며  자신의 능력을 개발하여 자립하도록 노력하여야 한다 .  국가와 사회는 헌법과 국제연합의 장애인 권리선언의 정신에 따라  장애인의 인권을 보호하고 완전한 사회참여와 평등을 이루어  더불어 살아가는 사회를 만들기 위한 여건과 환경을 조성하여야 한다 . _  장애인 인권헌장 中 누구나 예외 없이 보장되어야 하는 인권  인권과 장애인 인권  장애인 인권헌장 대한민국 헌법 제 10 조  모든 국민은 인간으로서 존엄과 가치를 가지며  행복을 추구할 권리를 가진다
